1,0,1,T0016,80440,1,Td 1600,,1986,,,N/A,0,photos/foyer/shelves/icons/DSC_0134.JPG
2,0,1,T0022,3073060001EC,2,Quick-Link 300,,1983,,,N/A,0,photos/foyer/icons/DSC_0135.JPG
3,0,1,T0017,N/A,3,Minitel M1,Telic-Matra,1982,,220V,I,0,photos/foyer/icons/DSC_0139.JPG
4,0,22,T00013,T13967,21,Tymshare Model 225,743 KSR,N/A,0,AC,115V,N/A,photos/foyer/icons/DSC_0237.JPG
